Seed,DesiredNegatives,LegendaryNegatives,SkipTagOne,SkipTagTwo,RandomNegatives
1EEK3ZC,1,0,2,1,0
12M2LVU,1,0,1,0,2
1GRIDUW,1,0,0,0,1
1EX9N6L,1,0,0,0,1
2BJU7TT,1,0,1,0,1
1HDJ1JU,1,0,0,0,1
1PKHYF9,1,0,0,0,0
1HJ5Z2W,1,0,1,1,2
1NJQ8NZ,1,0,0,1,1
2K8WN8S,1,0,0,1,1
23WBJX6,1,0,0,0,0
1I3FML8,1,0,0,1,0
2FHL8H8,1,0,0,0,0
1HL8MYN,1,0,2,1,1
1HDYVY8,1,0,0,1,0
1MVWV99,1,0,0,0,0
2H97XD7,1,0,1,0,0
1H14RQC,1,0,1,0,0
29FJMI3,1,0,1,0,2
1KJ3SG7,1,0,0,0,1
1IL2HHC,1,0,1,0,0
1LDBBPS,1,0,0,0,2
1POLYCT,1,0,0,0,2
1P9A8MS,1,0,0,1,0
1E5IM66,1,0,0,0,1
1LMOVQY,1,0,0,1,0
1LLP922,1,0,0,2,1
1JAVXIC,1,0,0,2,1
1I1SLCW,1,0,0,0,1
1Q1YVWR,0,2,0,0,0
1IW5HRF,1,0,1,0,0
1QDZYWA,1,0,0,1,1
1KNPY74,1,0,0,1,0
1O64BR2,1,0,0,0,1
1N5MKOT,1,0,0,0,0
2JYBG78,1,0,1,0,3
2FWXOMG,1,0,1,0,3
1MP54UL,1,0,0,0,3
1NOD6CF,1,0,0,1,0
1J4NNB9,1,0,0,0,0
2KNGLD4,1,0,0,0,1
1O2VCCQ,1,0,1,0,1
2IDNVCY,1,0,0,1,0
1RXF62T,1,0,1,0,0
2KK5WPQ,1,0,0,1,0
1NH8KC9,1,0,0,1,1
1LODOY7,1,0,0,1,0
2QBF3TD,1,0,1,0,0
1KYOT5Q,1,0,1,0,1
1JXXC6N,1,0,0,0,0
2MQ1AO5,1,0,0,1,2
2IHGJJR,1,0,1,1,1
1JL2EUN,1,0,3,1,2
2KA7VL9,1,0,1,0,0
1MU93Q3,1,0,0,0,1
1OY9HGO,1,0,1,0,2
1NRJEVX,1,0,1,0,1
1OAP1UL,1,0,1,1,1
1OQVDJU,1,0,1,0,1
1OKZXRF,1,0,2,0,0
1RYOBW3,1,0,1,1,0
1LIYTC9,1,0,0,0,0
1KVWLD9,1,0,0,0,3
1KSLXL3,1,0,0,0,0
2GOC2LX,1,0,0,1,2
1SLBTJU,1,0,0,1,0
1S4XDGU,1,0,1,2,2
1SH85CM,1,0,0,0,3
2S2OS8H,1,0,1,0,1
1RX6712,1,0,1,0,1
1TQCYI6,1,0,0,0,0
1RG8HOY,1,0,1,1,1
1JDNKTU,1,0,0,0,1
2M8OH6Y,1,0,0,2,0
1OMBP5D,1,0,1,0,1
1V1GI42,1,0,0,2,0
1WPTCG6,1,0,3,1,2
1V4HBTA,1,0,0,0,0
1HEQZQ5,2,0,0,0,0
1QKOAB3,1,0,1,1,2
1QAH8IC,1,0,0,0,0
1RCXHMQ,1,0,2,1,1
2SNTA4A,1,0,1,0,1
1PEB9WS,1,0,0,0,2
1Q3QH5D,1,0,0,1,1
1TM3XDK,1,0,2,1,2
1PNVER4,1,0,1,2,0
1O8ZWYQ,1,0,0,0,0
1TH6E1U,1,0,1,1,0
1UDOPRI,1,0,0,0,1
2VNZAUC,1,0,0,0,0
1N1YB4A,1,0,1,1,0
1PE4ZKQ,1,0,0,1,1
2TYYXRJ,1,0,1,0,0
1XQ2IYZ,1,0,0,1,0
2TA777G,1,0,0,0,3
1RI3E8N,1,0,1,1,1
2TZZTVZ,1,0,0,0,1
1SIG25L,1,0,0,0,0
1RV1MAC,1,0,1,1,0
1N9VSRK,1,0,0,0,0
1RXTOEH,1,0,1,0,1
1UYFSKE,1,0,0,2,1
1T6XGJC,1,0,1,1,2
2T1ZRVC,1,0,2,1,0
1NQ9DNZ,1,0,1,0,2
2ZJBP1I,1,0,0,0,2
1P6MN7P,1,0,0,0,3
1QH3PWI,1,0,0,1,1
1FV7SBL,1,0,0,0,1
1RKZ41L,1,0,3,0,1
1WP4XV3,1,0,2,0,0
2VLFA23,1,0,0,1,0
2T37B5G,1,0,1,0,1
1S23DCR,1,0,0,0,1
1TVR3YI,1,0,1,0,0
1UUXUPE,1,0,0,0,2
1Z89LIN,1,0,0,1,2
1YO7T4G,1,0,0,0,0
1WF8DJT,1,0,0,0,2
2RV1FA2,1,0,0,0,0
1UBIC78,1,0,0,0,1
2XLJHDB,1,0,0,1,0
1Y4Q956,1,0,0,0,1
1T85JNP,1,0,0,0,0
1VDAX2E,1,0,1,0,1
2ZP6HNO,1,0,0,0,1
