Seed,Score,Perkeo,Canio,Triboulet,Yorick,Chicot,Blueprint,Brainstorm,NegSkipTags
BPJXY9JU,3,1,0,0,0,0,1,1,4
BPINWS6Y,3,1,0,0,0,0,1,1,4
BQ4OHWWO,3,1,0,0,0,0,1,1,4
BPHU9JQ2,3,1,0,0,0,0,1,1,5
BQ8E9SGV,3,1,0,0,0,0,1,1,4
BPMJWDFL,3,1,1,0,0,0,0,1,4
BQNKTFL2,3,1,1,0,0,1,0,0,4
BQ1O5OXG,3,1,0,0,0,0,1,1,4
BQ37JZOJ,3,1,0,0,0,0,1,1,4
BO8QJF77,3,1,0,0,0,0,1,1,4
BPOPC5F6,3,1,0,0,0,0,1,1,4
BOL97T89,3,1,0,0,0,0,1,1,4
BPDRJPE9,3,1,0,0,0,0,1,1,4
BQ66UY54,3,1,0,0,0,0,1,1,4
BOC6KL7U,3,1,0,0,0,1,0,1,4
BPRE5WU9,3,1,0,0,0,0,1,1,4
BQ5WTSB1,3,1,1,0,0,0,1,0,4
BPS1NAFV,3,1,0,0,1,0,1,0,4
BQ6ETAZ3,3,1,0,0,0,0,1,1,4
BRLHNJCY,3,1,0,0,0,0,1,1,4
BQUVLEIA,3,1,0,0,1,0,1,0,4
BRQFM8KC,3,1,0,0,0,0,1,1,4
BPF9FLY4,3,1,0,0,0,0,1,1,4
BQO7VWRY,3,1,0,0,0,0,1,1,4
BODXAIPD,3,1,0,0,0,1,1,0,4
BQOZHRBQ,3,1,0,0,0,0,1,1,4
BO6J24OY,3,1,0,0,0,0,1,1,4
BPSVFATV,3,1,0,0,0,1,0,1,5
BQ8QRYS1,3,1,0,0,0,0,1,1,4
BPT7CC6Z,3,1,0,1,0,0,1,0,4
BQFQLNK2,3,1,0,0,0,0,1,1,4
BOCVC9YE,3,1,0,0,0,0,1,1,6
BQDPOW8A,3,1,0,0,0,0,1,1,4
BRQ5TBXJ,3,1,0,0,0,0,1,1,4
BQFC5BW1,3,1,0,0,0,0,1,1,4
BOC76Z8S,3,1,0,0,0,0,1,1,4
BRRDN7S8,3,1,1,0,0,0,1,0,4
BPZLDSJN,3,1,0,0,0,1,1,0,4
BQVYRHJL,3,1,0,0,0,0,1,1,5
BPZEVKGK,3,1,0,0,0,0,1,1,4
BORGZMND,3,1,0,0,0,0,1,1,4
BOMBQVZY,3,1,0,1,1,0,0,0,4
BRW7681Z,4,1,0,1,0,0,1,1,4
BQ3O1QEG,3,1,0,0,0,0,1,1,4
BQ1DCB1R,3,2,0,1,0,0,1,0,4
BQYMYTFR,3,1,0,0,0,0,1,1,4
BS598H9K,3,1,0,0,1,0,1,0,4
BQD2RMZK,3,1,0,0,0,0,1,1,4
BS3JFDEN,3,1,0,0,0,0,1,1,5
BQDM9XI9,3,1,0,0,1,0,0,1,4
BPZDRBQR,3,1,0,0,0,0,1,1,4
BOV3TS4G,3,1,0,0,0,0,1,1,4
