Seed,Score,Blurprint,Brainstorm,Burnt_Joker,Space_Joker,Oops_All_6s,DNA,NegativeTags,NegativeJokers
9CHDOA  ,2,1,0,0,0,1,0,0,0
9CW9TY  ,1,1,0,0,0,0,0,0,0
9EM9GF  ,1,1,0,0,0,0,0,1,0
9IP763  ,1,1,0,0,0,0,0,2,0
9LCRUC  ,1,1,0,0,0,0,0,0,0
9ND2PD  ,2,1,0,0,0,1,0,1,0
9NMKJW  ,1,1,0,0,0,0,0,2,0
9NQ8Q8  ,2,1,0,0,1,0,0,2,0
9P48LB  ,1,1,0,0,0,0,0,2,0
9S3QPD  ,3,1,0,0,1,0,1,1,0
9TGGP2  ,3,1,0,1,1,0,0,0,0
9USE95  ,1,1,0,0,0,0,0,1,1
9V6RV2  ,2,1,0,1,0,0,0,1,0
9W44G1  ,1,1,0,0,0,0,0,1,0
9ZLQZC  ,2,1,0,0,0,1,0,0,0
9ZP6EJ  ,1,1,0,0,0,0,0,2,0
A2QFGD  ,1,1,0,0,0,0,0,0,0
A3NR3F  ,1,1,0,0,0,0,0,1,0
A45WG8  ,1,1,0,0,0,0,0,1,0
A4SSLX  ,1,1,0,0,0,0,0,1,1
A612RH  ,1,1,0,0,0,0,0,0,0
A6HXIU  ,2,1,0,0,1,0,0,0,0
A7UYZ8  ,3,1,0,1,0,1,0,0,0
AC4QFX  ,1,1,0,0,0,0,0,0,0
ACILXK  ,2,1,0,1,0,0,0,2,0
AD7XDF  ,2,1,0,0,0,1,0,0,0
ADGBZP  ,3,1,0,0,1,1,0,0,0
AK9PMM  ,1,1,0,0,0,0,0,1,1
AKNF5I  ,4,1,0,1,1,1,0,1,0
AM6EU4  ,2,1,0,0,0,1,0,3,0
ANQ1DF  ,2,1,1,0,0,0,0,0,0
APERZZ  ,1,1,0,0,0,0,0,0,0
APJ6NY  ,2,1,0,1,0,0,0,0,0
AQFYYI  ,1,1,0,0,0,0,0,0,0
AWF4C7  ,1,1,0,0,0,0,0,1,0
AWI66L  ,1,1,0,0,0,0,0,1,0
B2EJ5S  ,1,1,0,0,0,0,0,0,0
B397ID  ,2,1,0,0,7,0,0,4,2
B3U9HE  ,3,1,0,0,0,1,1,3,0
B489UK  ,1,1,0,0,0,0,0,1,0
B4X1GL  ,1,1,0,0,0,0,0,0,0
B5M27S  ,3,1,1,0,0,1,0,0,0
B5VFGT  ,1,1,0,0,0,0,0,0,0
B7Q1XO  ,1,1,0,0,0,0,0,3,0
B8DZ4   ,1,1,0,0,0,0,0,2,0
B8TFQZ  ,2,1,0,0,1,0,0,0,0
B9BAEU  ,2,1,0,0,1,0,0,0,0
B9TGF4  ,1,1,0,0,0,0,0,0,0
BCJUZU  ,2,1,0,1,0,0,0,2,1
BDQNM   ,1,1,0,0,0,0,0,0,0
BENRZ4  ,2,1,1,0,0,0,0,1,0
BF4FB9  ,2,1,0,0,0,1,0,2,0
BHMLJN  ,1,1,0,0,0,0,0,1,0
BICEGQ  ,1,1,0,0,0,0,0,0,0
BLFPMG  ,3,1,1,0,0,0,1,0,0
BN941   ,1,1,0,0,0,0,0,1,0
BO5VU6  ,1,1,0,0,0,0,0,0,1
BOKMZ4  ,1,1,0,0,0,0,0,1,0
BPZXVO  ,2,1,0,0,0,1,0,1,1
BQLJWT  ,1,1,0,0,0,0,0,0,0
BSTM79  ,2,1,1,0,0,0,0,1,0
BUA2MN  ,2,1,0,0,1,0,0,0,0
BVYF6D  ,2,1,1,0,0,0,0,2,0
BWAGBO  ,1,1,0,0,0,0,0,1,0
